index,question,ground_truth,predicted,correct,raw_response
0,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",C,C,True,C
1,A frameshift mutation is created when,C,C,True,C
2,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",A,A,True,A
3,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,B,B,True,B
4,Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires,A,A,True,A
5,"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT:",A,A,True,A
6,The Barr body found within female mammalian cells' nuclei is an example of,B,B,True,B
7,Which of the following is NOT a source of atmospheric carbon?,B,B,True,B
8,The concept of punctuated equilibrium refers to,D,D,True,D
9,"When an influenza virus enters a cell, it immediately starts to do which of the following?",C,C,True,C
10,Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as,C,C,True,C
11,Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations?,D,A,False,A
12,"In Sweden, the red fox (Vulpes vulpes) severely limits populations of its prey, including hares. However, red fox populations are sometimes attacked by a fatal parasite, the mange mite. As mite population sizes increase at a given site, how are hare and fox populations most likely to respond at the ",C,A,False,A
13,"A cell nucleus contains which of the following?
I. DNA
II. Protein
III. RNA",D,A,False,A
14,"In one taxonomic classification, Archaea, Eukarya, and Bacteria represent the three major domains of life. Eukarya utilize the general transcription factors TBP (TATA-binding protein) and TFIIB in transcription, whereas Bacteria do not. At least one member of Archaea has a protein similar to TBP and",A,A,True,A
15,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy. The events just described entail the,C,C,True,C
16,Which of the following is a benefit that mycorrhizal fungi confer to many plants?,C,C,True,C
17,"Experiments on song development in birds have shown that when a young male reared in isolation hears only the song of a different bird species, he will develop an adult song repertoire that lacks certain characteristics typical of his own species. This result shows that the song of his species is mo",C,A,False,A
18,Which of the following most accurately describes a retrotransposon?,C,A,False,A
19,The soils of which of the following biomes has the highest rate of leaching and cycling of nutrients?,A,A,True,A
20,Which of the following best explains why enzymes are effective in facilitating chemical reactions?,D,D,True,D
21,"In the growth of a population, the point at which natality and mortality rates are equal to one another is referred to as",C,C,True,C
22,The wings of a bat and the wings of a butterfly are,B,B,True,B
23,The cell type comprising the pith tissue centered within a dicot stem is the,A,A,True,A
