index,question,ground_truth,predicted,correct,raw_response
0,"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC",C,C,True,"C[1][2]

References:
[1] Brull R, et al. (2019). Nerve Compression Syndromes. In StatPearls. https://www.ncbi.nlm.nih.gov/books/NBK482411/
[2] Kliot M, et al. (2019). Lower Limb Nerves and Their Clinical Significance. In StatPearls. https://www.ncbi.nlm.nih.gov/books/NBK490358/"
1,"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examinatio",C,C,True,"C[1][2]

Reference explanations:
[1] This reference supports the diagnosis of hypotonic uterine dysfunction, which is characterized by weak contractions that do not progress effectively through labor. The patient's history of regular contractions followed by weaker ones, along with the absence of other causes for labor arrest, aligns with this diagnosis.

[2] The description of the patient's condi"
2,"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38°C (100.4°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-con",B,B,True,B[2][3]
3,A 9-year-old boy is brought to the office by his parents for a well-child examination. The patient and his family immigrated to the United States 2 months ago and he has not been evaluated by a physician in 4 years. He has been generally healthy. Medical history is significant for pneumonia at age 3,C,B,False,"B[1][2]

References:
[1] Zahn, R., & Pinto, F. (2019). Cardiomyopathies in children. In Cardiology in Clinical Practice (pp. 123-134). Springer, Cham.
[2] American Heart Association. (2020). Hypertrophic cardiomyopathy: Diagnosis and treatment. Circulation, 142(11), e195-e204. doi:10.1161/CIR.0000000000000882"
4,"A 25-year-old woman comes to the physician because of a 2-month history of numbness in her right hand. During this period, she has had tingling in the right ring and small fingers most of the time. She has no history of serious illness and takes no medications. She is employed as a cashier and uses ",D,D,True,"D[1][2]

Reference Explanation:
[1] This reference discusses the anatomy and function of nerves in the upper extremity, including the ulnar nerve and its course from the elbow to the hand.
[2] This reference describes clinical presentations and diagnostic features of nerve entrapments, highlighting the symptoms and examination findings consistent with ulnar nerve entrapment at the elbow."
5,Six healthy subjects participate in a study of muscle metabolism during which hyperglycemia and hyperinsulinemia is induced. Muscle biopsy specimens obtained from the subjects during the resting state show significantly increased concentrations of malonyl-CoA. The increased malonyl-CoA concentration,A,B,False,B[2][3]
6,"A 72-year-old woman with advanced ovarian cancer metastatic to the liver is brought to the physician by her son because she cries all the time and will not get out of bed. On a 10-point scale, she rates the pain as a 1 to 2. She also has hypertension and major depressive disorder. She has received c",B,B,True,"B[1][2]

References:
[1] American Psychiatric Association. (2013). Diagnostic and statistical manual of mental disorders (5th ed.). Arlington, VA: Author.
[2] National Comprehensive Cancer Network. (2021). NCCN Clinical Practice Guidelines in Oncology: Supportive Care. Retrieved from https://www.nccn.org/professionals/physician_gls/pdf/supportive.pdf"
7,"A 65-year-old woman has a 6-month history of progressive irritability, palpitations, heat intolerance, frequent bowel movements, and a 6.8-kg (15-lb) weight loss. She has had a neck mass for more than 10 years. 131I scan shows an enlarged thyroid gland with multiple areas of increased and decreased ",C,B,False,B[2][3]
8,A 51-year-old man comes to the office because of a 6-month history of a lump on his tongue that is interfering with his speech and eating; he also has had a 6.8-kg (15-lb) weight loss during this period. He has smoked 1 pack of cigarettes daily and has consumed six 12-oz bottles of beer on weekend n,D,A,False,"A[1][2]

Reference Explanation:
[1] The location of the tumor on the apex of the tongue suggests that the first lymph node group to be evaluated for metastasis would be those closest to the tumor. The inferior deep cervical lymph nodes are the primary drainage site for the posterior tongue and floor of the mouth.
[2] Other lymph node groups such as parotid, retropharyngeal, and submental are less "
9,A 42-year-old man comes to the physician for a follow-up examination 1 week after he passed a renal calculus. X-ray crystallographic analysis of the calculus showed calcium as the primary cation. Physical examination today shows no abnormalities. A 24-hour collection of urine shows increased calcium,B,A,False,"A[1]

Reference 1: [1] Krawczak M, et al. (2019) ""Management of Hypercalciuria."" Nature Reviews Urology, 16(1), pp. 53-63. This reference discusses various treatments for hypercalciuria, including carbonic anhydrase inhibitors, which are often used in the management of this condition."
10,"While you are on rounds at a local nursing facility, the nurse mentions that your patient, a 79-year-old woman, appears to be a ""poor eater."" She was admitted to the nursing facility 3 months ago from the hospital where she was treated for congestive heart failure. Her daughter had moved away from t",D,C,False,"C[2]

Reference 2 suggests that a determination of serum albumin concentration is a useful initial diagnostic study in assessing malnutrition and overall nutritional status, which can be a contributing factor to poor appetite and weight loss."
11,A previously healthy 24-year-old woman comes to the physician because of a low-grade fever and a nonproductive cough for 7 days. She has been able to continue her daily activities. Her temperature is 37.7°C (99.9°F). A few scattered inspiratory crackles are heard in the thorax. An x-ray of the chest,D,C,False,"C[1]

Reference 1 indicates that the patient's symptoms and chest X-ray findings are consistent with a bacterial pneumonia, likely caused by atypical pathogens such as Mycoplasma pneumoniae or Chlamydophila pneumoniae, which are often resistant to beta-lactams like amoxicillin and cefaclor. Ciprofloxacin is broad-spectrum but not typically the first choice for community-acquired pneumonia. Erythro"
12,"A 15-year-old boy is brought to the emergency department by his parents because of a 2-hour history of confusion and agitation. He also has had fever, headache, stiff neck, and vomiting since he returned from summer camp 2 days ago. His parents say he does not use illicit drugs. On arrival, he is co",D,D,True,"D[2][3]

Reference explanations:
- [2] Discusses the olfactory nerve as a potential route for pathogens to enter the central nervous system due to its direct connection to the nasal cavity.
- [3] Highlights that the olfactory nerve can be a portal of entry for certain organisms, particularly in cases where the nasal mucosa is compromised or in infections like those caused by Toxoplasma gondii, whi"
13,A 32-year-old male presents to the office with the complaint of pain in his right shoulder for the past two weeks. Physical examination reveals tenderness at the greater tubercle of the humerus and painful abduction of the right upper extremity. The cause of this patient's condition is most likely a,D,D,True,"D[1]

Reference:
[1] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5430764/#:~:text=The%20supraspinatus%20muscle%20is%20a,abduction%20of%20the%20arm%20(1)."
14,A 19-year-old male presents to the office for evaluation after he was hit from behind below the right knee while playing football. Gait analysis reveals a lack of fluid motion. Standing flexion test results are negative. Cruciate and collateral knee ligaments appear intact. Foot drop on the right is,C,C,True,C[2][4]
15,A 45-year-old limousine driver comes to the office for an initial appointment because he would like you to fill out and sign a legal document at the request of his attorney. The patient states that he is filing a lawsuit against the limousine company that employs him because he developed post-trauma,B,B,True,B[2][3]
