index,question,ground_truth,predicted,correct,raw_response
0,A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,A,A,True,"A[1][2]

References:
[1] Daroff, R. B., Jankovic, J., Mazziotta, J. C., & Stern, M. S. (2017). Bradley’s neurology in clinical practice. Elsevier Health Sciences. ISBN 978-0-323-44345-5.
[2] Kinsbourne, M. (2003). Neuroanatomy and clinical neurosciences. Springer Science & Business Media. ISBN 978-0-387-95553-6."
1,"A ""dished face"" profile is often associated with",B,B,True,"B[2]

Reference 2 states that a ""dished face"" profile is often associated with a recessive maxilla due to failure of elongation of the cranial base. This aligns with option B. The other options do not accurately describe the characteristics of a dished face profile."
2,Which of the following best describes the structure that collects urine in the body?,A,A,True,"A[1]

Reference:
[1] Moore, K. L., & Persaud, T. V. N. (2018). The Developing Human: Clinically Oriented Embryology. Elsevier. ISBN: 978-0-323-58632-3. This reference indicates that the bladder is the organ responsible for collecting urine from the kidneys via the ureters and storing it until it can be expelled from the body through the urethra."
3,Which of the following structures is derived from ectomesenchyme?,C,D,False,D[2][3]
4,Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?,B,B,True,"B[1][2]

References:
[1] Moore, K. L., & Persaud, T. V. N. (2018). Before we are born: Developmental biology of human reproduction (9th ed.). Elsevier. Chapter on kidney development.

[2] Ross, M. H., Pawlina, W., & Pawlina, D. (2016). Histology: A text and atlas (7th ed.). Wolters Kluwer. Section on renal anatomy."
5,A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,B,D,False,D[2][3]
6,Which of the following anatomical regions of abdomen lies just distal to the sternum?,A,A,True,"A[1][2]

References:
[1] Moore, K. L., & Dalley, A. F. (2013). Clinically Oriented Anatomy. Lippincott Williams & Wilkins. ISBN 978-1-60547-911-0.
[2] Wikipedia contributors. (2023, March 15). Abdomen. In Wikipedia, The Free Encyclopedia. Retrieved from https://en.wikipedia.org/wiki/Abdomen"
7,Which of the following best describes the human body's defense mechanism against environmental bacteria?,B,B,True,B[2][4]
8,The palatine processes begin to fuse at,C,B,False,B[2][3]
9,Primary motor cortex activity results in,D,D,True,D[2][3]
10,You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the,D,C,False,"C[1][2]

References:
[1] Kumar, V., Abbas, A. K., Aster, J. C. (2017). Robbins and Cotran Pathologic Basis of Disease. Elsevier Health Sciences. ISBN 978-0-323-54989-2.
[2] Longo, D. L., Fauci, A. S., Kasper, D. L., Hauser, S. L., Jameson, J. L., Loscalzo, J. (2017). Harrison's Principles of Internal Medicine. McGraw-Hill Education. ISBN 978-0-07-184546-6."
11,A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?,D,D,True,"D[2][3]

References:
[2] This damage can result in oculomotor nerve (III) palsy, leading to pupillary dilation and a lateral deviation of the eye due to weakness in the lateral rectus muscle and paralysis of the superior, inferior rectus, and inferior oblique muscles.
[3] The oculomotor nerve innervates the ciliary muscle, which controls pupil size, and the levator palpebrae superioris, which elev"
