index,question,ground_truth,predicted,correct,raw_response
0,Which of the following is derived from fibroblast cells ?,A,C,False,C
1,"In Alleged history of gun shot injury.there is burning, blackening, tattooing around the wound Di collar, the injury is",A,A,True,A
2,Which macrolide is active against Mycobaterium leprae?,A,A,True,A
3,Xanthenuric acid is produced in metabolism of?,A,D,False,D
4,Most common site of direct hernia,A,A,True,A
5,Resistance to lateral shifting or anteroposterior shifting is called as:,A,B,False,B
6,Marker of endoplasmic reticulum?,A,B,False,B
7,"A 10 years old male presents a smooth swelling near superficial inguinal ring, which moves downwards when the testicle is pulled downwards. Diagnosis -",A,A,True,A
8,Pain and temperature sensation are transmitted by?,A,B,False,B
9,All are derived from ectoderm except ?,A,A,True,A
10,Tannerella forsythia is a ?,A,A,True,A
11,On which day LH & FSH should be measured ?,A,A,True,A
12,Lepra cell are?,A,A,True,A
13,FDA approved drug for refractory schizophrenia ?,A,C,False,C
14,Which of the following bacteria is not a primary colonizer:,A,A,True,A
15,True of umbilical hernia -,A,B,False,B
16,Failure rate of Pomeroy's method of tubal ligation is ?,A,A,True,A
17,Tumor NOT commonly seen in first decade of life?,A,C,False,C
18,Straight sinus is formed by?,A,A,True,A
19,Fenthion is ?,A,A,True,A
20,Feilization usually occurs in which pa of fallopian tube?,A,B,False,B
21,Behavioral surveillance survey is done in ?,A,C,False,C
22,True about alkaptonuria ?,A,B,False,B
23,24 hours wearing is possible by which functional appliances:,A,A,True,A.
24,Afferents for stretch reflexes are carried by which fibers?,A,A,True,A
25,False about MgSo4 is ?,A,B,False,B
26,Green colour of triage is for which patient ?,A,D,False,D
27,Prognosis of treatment in case of Class II malocclusion is favorable when?,A,A,True,A
28,The most common cause of death in SLE in children,A,A,True,A
29,Most common site of ectopic pregnancy is ?,A,B,False,B
30,"In comparison with the permanent mandibular canine, the permanent maxillary canine:",A,C,False,C
31,Which of these drugs is a glucagon-like peptide-1 (GLP-1)agonist?,A,B,False,B
32,Absorbed fluoride is eliminated by:,A,A,True,A
33,"All are true of opioid withdrawal, except:NIMHANS 10; PGI 14",A,B,False,B
34,Orange sweat is seen in:,A,A,True,A
35,Which is the main function of reverse-pull headgear?,A,B,False,B
36,Palpable femur head on per rectal exam is a feature of which of the following conditions?,A,A,True,A
37,Prognosis is better in?,A,C,False,C
38,Haemophilia A is :,A,B,False,B
39,Treatment of choice for squamous cell carcinoma of anus below dentate line is?,A,C,False,C
40,In porphyria all the following drugs are safe EXCEPT:,A,D,False,D
41,Corneal ulcer resembling fungal ulcer is seen in infection with which of the agents?,A,A,True,A
42,Multi-unit smooth muscle present at all except ?,A,D,False,D
43,Which ACE inhibitor in safe in renal failure ?,A,B,False,B
44,Abuse of which of the following is the most common cause of seizures:,A,C,False,C
45,Cause of bilateral optic atrophy ?,A,B,False,B
46,Mosaic pattern of coment line is characteristically seen in -,A,C,False,C
47,Proteins which are present in attached plaque:,A,C,False,C
48,Most common influenza virus causing disease?,A,A,True,A
